,date,fav,dog,homeaway,diffbasset,sharebasset,totalbasset,diffpredictive,totalpredictive,diffsos,totalsos,difffut_sos,totalfut_sos,diffseas_sos,totalseas_sos,difflast5,totallast5,difflast10,totallast10,diffluck,totalluck,diffconsistency,totalconsistency,diffvs_top10,totalvs_top10,diffLAZ,shareLAZ,totalLAZ,diffARG,shareARG,totalARG,diffMAS,shareMAS,totalMAS,diffSAG,shareSAG,totalSAG,diffHOW,shareHOW,totalHOW,diffBIL,shareBIL,totalBIL,diffMAR,shareMAR,totalMAR,diffDOK,shareDOK,totalDOK,diffDES,shareDES,totalDES,diffMOR,shareMOR,totalMOR,diffBRN,shareBRN,totalBRN,diffPIG,sharePIG,totalPIG,diffCGV,shareCGV,totalCGV,diffBDF,shareBDF,totalBDF,homeawaydiff,fieldeffect,juice,line
695,2017-11-25,MICHIGAN ST,RUTGERS,1,-69.0,0.2958579881656805,169.0,12.3,0.5,6.3,8.7,-5.3,0.5,5.4,8.0,11.399999999999999,-0.20000000000000018,13.3,2.3,1.9999999999999998,3.5999999999999996,-5.6,26.799999999999997,12.9,-9.700000000000001,-64.0,0.18,100.0,-65.0,0.2018348623853211,109.0,-60.0,0.18085106382978725,94.0,-53.0,0.26126126126126126,111.0,-74.0,0.16964285714285715,112.0,-76.0,0.14150943396226415,106.0,-57.0,0.2755905511811024,127.0,-46.0,0.3333333333333333,138.0,-78.0,0.16379310344827586,116.0,-59.0,0.2601626016260163,123.0,-56.0,0.2878787878787879,132.0,-42.0,0.32786885245901637,122.0,-72.0,0.2391304347826087,138.0,-55.0,0.3103448275862069,145.0,8.6,-6.3,0.0,-13.5
696,2017-11-25,MIDDLE TENN,OLD DOMINION,0,-27.0,0.46301369863013697,365.0,6.800000000000001,-29.2,2.799999999999999,-23.4,-13.8,-29.2,1.5999999999999996,-23.799999999999997,2.5999999999999996,-30.799999999999997,9.6,-30.4,-1.3,0.9000000000000001,2.1000000000000014,25.5,0.0,0.0,-3.0,0.49261083743842365,203.0,-7.0,0.4830917874396135,207.0,-13.0,0.4682926829268293,205.0,-11.0,0.47465437788018433,217.0,-2.0,0.495,200.0,11.0,0.5265700483091788,207.0,-20.0,0.4504950495049505,202.0,-13.0,0.4703196347031963,219.0,2.0,0.5054945054945055,182.0,-5.0,0.4890829694323144,229.0,-10.0,0.47767857142857145,224.0,-5.0,0.48847926267281105,217.0,2.0,0.5055555555555555,180.0,-18.0,0.45794392523364486,214.0,-2.700000000000001,-13.4,0.0,-13.5
697,2017-11-25,N MEX STATE,IDAHO,0,-62.0,0.4109195402298851,348.0,4.099999999999998,-31.7,3.700000000000001,-23.9,-10.1,-31.9,1.5,-25.3,2.0,-33.4,6.699999999999999,-30.3,0.9,-0.7000000000000001,-6.0,22.8,0.0,0.0,-5.0,0.48936170212765956,235.0,-15.0,0.4666666666666667,225.0,-1.0,0.4978723404255319,235.0,-9.0,0.4805194805194805,231.0,-8.0,0.4827586206896552,232.0,-15.0,0.4663677130044843,223.0,-15.0,0.46411483253588515,209.0,-18.0,0.4590909090909091,220.0,-13.0,0.4694835680751174,213.0,-6.0,0.48717948717948717,234.0,-3.0,0.49356223175965663,233.0,1.0,0.502127659574468,235.0,-14.0,0.46464646464646464,198.0,-2.0,0.4956896551724138,232.0,1.6999999999999993,-13.6,0.0,-10.0
698,2017-11-25,NC STATE,N CAROLINA,0,-48.0,0.2692307692307692,104.0,12.399999999999999,7.8,6.2,9.2,-19.4,7.8,4.5,9.1,14.8,8.2,15.200000000000001,8.4,1.9,-0.5,-6.0,23.0,14.2,0.0,-58.0,0.22115384615384615,104.0,-61.0,0.23931623931623933,117.0,-50.0,0.2222222222222222,90.0,-43.0,0.2736842105263158,95.0,-69.0,0.21951219512195122,123.0,-52.0,0.2903225806451613,124.0,-71.0,0.2204724409448819,127.0,-34.0,0.2976190476190476,84.0,-58.0,0.25,116.0,-40.0,0.3,100.0,-20.0,0.3684210526315789,76.0,-20.0,0.36486486486486486,74.0,-70.0,0.2569444444444444,144.0,-42.0,0.19117647058823528,68.0,17.2,-6.7,0.0,-16.0
699,2017-11-25,NEVADA,UNLV,0,-6.0,0.48880597014925375,268.0,0.40000000000000036,-21.6,4.6,-15.6,-7.4,-21.6,3.6000000000000005,-16.2,6.8,-17.2,-2.9000000000000004,-20.9,-1.6,-2.0,-3.8000000000000007,28.8,2.5,-2.5,14.0,0.5333333333333333,210.0,7.0,0.5174129353233831,201.0,17.0,0.5395348837209303,215.0,6.0,0.5148514851485149,202.0,8.0,0.5198019801980198,202.0,17.0,0.5395348837209303,215.0,2.0,0.5043103448275862,232.0,-5.0,0.4878048780487805,205.0,23.0,0.5539906103286385,213.0,6.0,0.515,200.0,-6.0,0.4854368932038835,206.0,-4.0,0.49029126213592233,206.0,23.0,0.5550239234449761,209.0,-6.0,0.48598130841121495,214.0,-12.600000000000001,2.3,-5.0,-3.5
700,2017-11-25,NORTH TEXAS,RICE,1,-100.0,0.345679012345679,324.0,15.4,-32.6,2.1999999999999993,-19.8,-8.4,-32.6,1.4000000000000004,-20.799999999999997,14.9,-34.1,17.3,-33.3,3.2,1.5999999999999999,1.6000000000000014,23.0,0.0,0.0,-61.0,0.3386243386243386,189.0,-65.0,0.328042328042328,189.0,-50.0,0.3786407766990291,206.0,-38.0,0.41037735849056606,212.0,-75.0,0.2857142857142857,175.0,-74.0,0.29213483146067415,178.0,-50.0,0.3697916666666667,192.0,-27.0,0.43891402714932126,221.0,-78.0,0.2833333333333333,180.0,-39.0,0.4075829383886256,211.0,-37.0,0.4131455399061033,213.0,-45.0,0.3891625615763547,203.0,-78.0,0.27586206896551724,174.0,-42.0,0.39805825242718446,206.0,18.7,-1.4,0.0,-12.0
701,2017-11-25,NORTHWESTERN,ILLINOIS,1,-106.0,0.18072289156626506,166.0,21.3,-0.5,7.300000000000001,3.5000000000000004,-14.3,-0.5,6.0,3.1999999999999997,21.9,12.700000000000001,22.200000000000003,2.4000000000000004,1.6,0.20000000000000007,4.0,24.4,8.0,4.6,-88.0,0.15079365079365079,126.0,-94.0,0.14393939393939395,132.0,-88.0,0.15079365079365079,126.0,-81.0,0.17073170731707318,123.0,-91.0,0.15267175572519084,131.0,-71.0,0.21138211382113822,123.0,-87.0,0.16279069767441862,129.0,-68.0,0.25,136.0,-91.0,0.1678832116788321,137.0,-83.0,0.11926605504587157,109.0,-80.0,0.11538461538461539,104.0,-81.0,0.15966386554621848,119.0,-92.0,0.176056338028169,142.0,-85.0,0.18045112781954886,133.0,20.299999999999997,0.3,0.0,-16.5
702,2017-11-25,NOTRE DAME,STANFORD,1,-11.0,0.34285714285714286,35.0,4.999999999999998,33.8,2.4000000000000004,14.200000000000001,1.9999999999999982,33.8,2.500000000000001,16.1,2.8000000000000007,31.400000000000002,9.500000000000002,33.7,0.4,0.0,0.09999999999999964,31.1,-8.100000000000001,40.5,-19.0,0.12,25.0,-11.0,0.28,25.0,-23.0,0.20512820512820512,39.0,-7.0,0.37037037037037035,27.0,-16.0,0.19230769230769232,26.0,-7.0,0.37037037037037035,27.0,-15.0,0.3076923076923077,39.0,-6.0,0.39285714285714285,28.0,-9.0,0.3333333333333333,27.0,-7.0,0.3793103448275862,29.0,-2.0,0.4642857142857143,28.0,-2.0,0.46153846153846156,26.0,-5.0,0.42857142857142855,35.0,-4.0,0.4583333333333333,48.0,-0.7000000000000028,-15.9,-15.0,-3.0
703,2017-11-25,OHIO STATE,MICHIGAN,1,-27.0,0.06451612903225806,31.0,13.7,40.3,2.7,15.100000000000001,-6.699999999999999,40.3,2.1000000000000005,17.5,10.4,38.2,14.399999999999999,39.0,-1.3,-0.9000000000000001,10.700000000000001,30.9,7.6000000000000005,17.2,-11.0,0.2608695652173913,23.0,-7.0,0.34782608695652173,23.0,-4.0,0.4166666666666667,24.0,-13.0,0.24,25.0,-10.0,0.3076923076923077,26.0,-10.0,0.32142857142857145,28.0,-13.0,0.19047619047619047,21.0,-22.0,0.07692307692307693,26.0,-18.0,0.23529411764705882,34.0,-20.0,0.08333333333333333,24.0,-15.0,0.10526315789473684,19.0,-12.0,0.25,24.0,-20.0,0.2222222222222222,36.0,-12.0,0.3,30.0,20.6,3.6,0.0,-13.0
704,2017-11-25,OKLAHOMA,W VIRGINIA,0,-35.0,0.1111111111111111,45.0,14.499999999999998,29.299999999999997,6.5,15.3,-21.5,29.299999999999997,4.6000000000000005,16.2,20.700000000000003,30.5,15.299999999999999,30.5,0.7,1.7,6.1,19.9,45.5,45.5,-33.0,0.17647058823529413,51.0,-30.0,0.21153846153846154,52.0,-25.0,0.14285714285714285,35.0,-33.0,0.14893617021276595,47.0,-33.0,0.17647058823529413,51.0,-36.0,0.125,48.0,-35.0,0.02702702702702703,37.0,-32.0,0.15217391304347827,46.0,-26.0,0.11764705882352941,34.0,-37.0,0.10638297872340426,47.0,-32.0,0.1,40.0,-33.0,0.05405405405405406,37.0,-37.0,0.10638297872340426,47.0,-33.0,0.02857142857142857,35.0,11.500000000000002,9.6,0.0,-23.0
